,S.NO,SALONS,January,February,March,April,May,June,July,August,September,October,November,December,2024 Cumm
,1,EA,3167652,2865963,,,,,,,,,,,6033615
,2,Anna,2684842,2478476,,,,,,,,,,,5163318
,3,Adyar,3433960,2916450,,,,,,,,,,,6350410
,4,KNK,1716949,1233425,,,,,,,,,,,2950374
,5,Phnx,3431189,2790254,,,,,,,,,,,6221443
,6,Forum,2796626,2395121,,,,,,,,,,,5191747
,7,T nagar,1942081,1930757,,,,,,,,,,,3872838
,8,Hyd,2192447,2201832,,,,,,,,,,,4394279
,9,Chamiers,1536153,1326424,,,,,,,,,,,2862577
,10,Poes,1492465,1694321,,,,,,,,,,,3186786
,11,ECR,1832841,1552842,,,,,,,,,,,3385683
,12,Grand Mall,409903,290380,,,,,,,,,,,700283
,13,TG Kil,1375392,1151035,,,,,,,,,,,2526427
,14,Palladium,1366291,1294725,,,,,,,,,,,2661016
,15,Mogappair,2158136,2018678,,,,,,,,,,,4176814
,16,Ashok Nagar,2204947,2200773,,,,,,,,,,,4405720
,17,VR Mall,2855739,2692185,,,,,,,,,,,5547924
,18,Wallace,1674500,1285880,,,,,,,,,,,2960380
,19,BSR Mall,883445,714648,,,,,,,,,,,1598093
,20,OMR,1256669,1218950,,,,,,,,,,,2475619
,21,Marina Mall,1411127,1266400,,,,,,,,,,,2677527
,22,Porur,1645336,1457877,,,,,,,,,,,3103213
,23,Periyar Nagar,1514095,1147632,,,,,,,,,,,2661727
,24,Madipakkam,1357822,1276572,,,,,,,,,,,2634394
,25,Alwarthiru,1379711,1035334,,,,,,,,,,,2415045
,26,Ambattur,1087463,1265282,,,,,,,,,,,2352745
,27,Vepery ,1086978,892826,,,,,,,,,,,1979804
,28,Ramapuram,758389,860897,,,,,,,,,,,1619286
,29,Madhavaram,931919,677052,,,,,,,,,,,1608971
,30,Villivakam,490167,714921,,,,,,,,,,,1205088
,31,Kodambakkam,1110595,937709,,,,,,,,,,,2048304
,32,Choolaimedu,760374,611037,,,,,,,,,,,1371411
,33,Kolathur,1250543,965536,,,,,,,,,,,2216079
,34,Tambaram,1004027,763171,,,,,,,,,,,1767198
,35,Avadi,832231,815471,,,,,,,,,,,1647702
,36,Mogappair East,506916,598463,,,,,,,,,,,1105379
,37,Ess Kilp,2010221,1714655,,,,,,,,,,,3724876
,38,Ess Chinta,957743,786701,,,,,,,,,,,1744444
,39,Ess Bessy,1071522,1005732,,,,,,,,,,,2077254
,40,Ess Taylors ,936606,707950,,,,,,,,,,,1644556
,41,Pallikranai,963711,798806,,,,,,,,,,,1762517
,42,Selaiyur,1020205,964174,,,,,,,,,,,1984379
,43,Aerohub,865385,799461,,,,,,,,,,,1664846
,44,HYD LULU,1353575,1240445,,,,,,,,,,,2594020
,45,Vivira Mall,448389,298720,,,,,,,,,,,747109
,46,Sekaran Mall,364261,388712,,,,,,,,,,,752973
,47,Ampa skyone,479203,562673,,,,,,,,,,,1041876
,48,MR Nagar,719870,668783,,,,,,,,,,,1388653
,49,Thiruvottiyur,488759,456670,,,,,,,,,,,945429
,50,VELACHERY,429128,1220613,,,,,,,,,,,1649741
,51,Royapuram,804515,575136,,,,,,,,,,,1379651
,52,Tharamani,337777,284935,,,,,,,,,,,622712
,53,Adambakkam,400003,417335,,,,,,,,,,,817338
,54,Vettuvakeni,6785,464093,,,,,,,,,,,470878
,55,,,,,,,,,,,,,,0
,56,,,,,,,,,,,,,,0
,57,,,,,,,,,,,,,,0
,,,71197578,64894893,0,0,0,0,0,0,0,0,0,0,136092471
