,S.NO,SALONS,January,February,March,April,May,June,July,August,September,October,November,December,2024 Cumm
,1,EA,2688491,2963257,2682077,3000411,2994398,2920373,3000372,3315235,3314132,3019979,2836785,4252610,36988120
,2,Anna,2485508,2228226,2302095,2446233,2631599,2444540,2409390,2585126,2466049,2453192,2462607,3300058,30214623
,3,Adyar,3472894,3053140,3060136,3216515,3318009,3506087,3473734,3381726,3541736,2915647,3015483,4801679,40756786
,4,KNK,1666184,1464751,1369113,1576812,1583084,1787793,1565682,1814448,1609513,1418581,1612687,1954698,19423346
,5,Phnx,3037398,2701697,3003787,3213472,3300020,3262472,3221699,3307167,3143166,3169840,2700849,5228987,39290554
,6,Forum,2301126,2269566,2407682,2349027,2520190,2543666,2442660,3049688,2544851,2369411,2164734,3401736,30364337
,7,T nagar,1889175,1643074,1737571,1802703,1844945,1804877,1817664,2119990,1811730,1768351,1926733,2555843,22722656
,8,Hyd,1805026,2338210,2603036,2351292,2233831,2304374,2203340,3080680,2246496,2219918,2401992,3174711,28962906
,9,Chamiers,1429716,1415181,1278467,1503494,1584215,1325473,1520922,1551308,1373398,1296425,1338801,2073544,17690944
,10,Poes,1765675,1656890,1612322,1523445,1600796,1750408,1652109,1709616,1616864,1573325,1570512,2227234,20259196
,11,ECR,1466549,1581950,1621296,1594551,1580318,1890327,1632142,1996447,1663957,1601153,1707357,2378407,20714454
,12,Grand Mall,494442,471920,568677,575341,612769,702319,615650,707295,509077,566671,534289,657125,7015575
,13,TG Kil,1543718,1326077,1414084,1509249,1456359,1604766,1406236,1226554,1362290,1517471,1095756,1515251,16977811
,14,Palladium,1167279,1229590,1350043,1565327,1711408,1466582,1471674,1259723,1367451,1535872,1076485,2311001,17512435
,15,Mogappair,1641879,1702088,1863476,2147102,2206460,2330306,1990335,2465704,2299739,2878271,2219994,3148407,26893761
,16,Ashok Nagar,2103483,2365174,2003448,2211296,2207479,2366041,2070408,2102270,2018054,1963806,1907193,2521538,25840190
,17,VR Mall,2577479,2503807,2960322,2958439,3101154,3188972,2885729,3335733,2881854,2609484,2434726,3672813,35110512
,18,Wallace,1428571,1348304,1399743,1645720,1768058,1769934,1813096,1824891,1761070,1588091,1343487,2013676,19704641
,19,BSR Mall,937767,1108805,1107132,1121266,918847,1146780,866361,914391,933040,1016554,982401,1235553,12288897
,20,OMR,1560410,1575104,1463390,1212908,1190178,1221925,1189537,1370810,1064687,1251595,1213506,1631248,15945298
,21,Marina Mall,1630424,1364173,1475716,1500457,1566375,1632200,1648604,1653784,1616491,1603263,1385488,2075537,19152512
,22,Porur,1453217,1411297,1506332,1390008,1550546,1694973,1539514,1805858,1643756,1749535,1611607,1933398,19290041
,23,Periyar Nagar,1106933,965446,1019907,1177793,1158859,1166195,1222589,1317032,1304433,1162481,1067248,1652395,14321311
