,S.NO,SALONS,January,February,March,April,May,June,July,August,September,October,November,December,2024 Cumm
,24,Madipakkam,1096398,930827,1014844,952528,1105821,1100095,1317219,1170008,1204486,1015928,1330391,1607695,13846240
,25,Alwarthiru,974885,1051548,1076731,1161569,1266850,1404090,1206899,1178529,1354585,1036417,1009949,1421336,14143388
,26,Ambattur,889429,1022885,1050977,1228027,1046223,1263282,1056253,1057698,1231750,1045399,928010,1329771,13149704
,27,Vepery ,831355,695866,739845,877096,826500,892446,839676,878036,848883,901593,884611,1186221,10402128
,28,Ramapuram,524092,584697,588344,618581,678825,819989,784664,796785,748117,679675,698574,790769,8313112
,29,Madhavaram,803621,676050,653071,764104,781275,641174,550487,743543,598483,926870,729574,1048859,8917111
,30,Villivakam,700052,710018,520181,605215,924235,783224,736849,750189,701153,700069,664569,807988,8603742
,31,Kodambakkam,1011107,1019768,838868,1026971,1007523,1155203,985443,1176775,1101772,954580,900381,1426828,12605219
,32,Choolaimedu,727289,560678,553806,573596,977948,776244,569355,755440,632332,640990,560749,966566,8294993
,33,Kolathur,1040484,1015318,895044,1032648,919828,1119740,1040038,1017441,961620,996454,1037121,1512331,12588067
,34,Tambaram,493843,411165,427326,666137,788838,767014,765126,682160,784165,584382,586480,1015095,7971731
,35,Avadi,568162,593491,484142,618933,576629,768598,777559,792938,1050995,1008776,795460,1127081,9162764
,36,Mogappair East,397423,357927,350188,298733,629112,645225,752183,914745,527926,578113,489048,814341,6754964
,37,Ess Kilp,1863717,1553456,1482821,1638104,1629517,1402707,1769396,2144854,1671246,1520911,1909619,2156430,20742778
,38,Ess Chinta,934183,915315,919309,800770,784989,1042904,880349,854171,866661,917006,817840,1253048,10986545
,39,Ess Bessy,1349395,863181,1513498,1241486,1234921,1249609,1124048,1805350,1011611,1769391,1001570,2274264,16438324
,40,Ess Taylors ,796086,695695,719330,770652,617762,948622,855794,770094,654755,642297,667753,1007591,9146431
,41,Pallikranai,679081,711260,805614,741819,778084,777564,708864,901359,661328,872044,818275,825746,9281038
,42,Selaiyur,744083,745037,790482,1039487,941393,1025955,1044781,1086664,984617,761875,843737,1215231,11223342
,43,Aerohub,670069,696354,765176,742891,913487,841437,719923,1002995,948021,814491,745006,1063577,9923427
,44,HYD LULU,858068,772229,583571,900264,1033714,908677,1079937,851317,1042255,1057639,1003353,1628967,11719991
,45,Vivira Mall,225578,275099,215248,380534,522834,495894,420269,495179,376510,385850,344179,420939,4558113
,46,Sekaran Mall,105339,110556,213863,196631,203865,372054,275374,519315,466335,464495,510788,442521,3881136
,47,Ampa skyone,398538,532191,559901,461958,408367,527244,540826,943033,504377,657335,714354,917602,7165726
,48,MR Nagar,72772,471250,498854,626776,458330,593999,528142,627262,621978,453283,717597,884219,6554462
,49,Thiruvottiyur,,,,237848,341495,519869,310105,587390,560093,478185,491470,647716,4174171
,50,VELACHERY,,,,,,2790,455856,479336,545553,441475,442901,672281,3040192
,51,Royapuram,,,,,,,84346,449351,641304,588166,672610,856047,3291824
,52,Tharamani,,,,,,,,,,2583,389976,467578,860137
,53,Adambakkam,,,,,,,,,,,,94659,94659
,,,60408393,58659588,60070886,63796219,66038262,68677032,65839208,73327433,67396745,66142605,63316665,91600746,805276365
